sa2_main_2016,sa2_name_2016
301011001,Alexandra Hills
301011002,Belmont - Gumdale
301011003,Birkdale
301011004,Capalaba
301011005,Thorneside
301011006,Wellington Point
301021007,Cleveland
301021008,Ormiston
301021009,Redland Bay
301021011,Sheldon - Mount Cotton
301021012,Thornlands
301021013,Victoria Point
301021527,Redland Islands
301031014,Brisbane Port - Lytton
301031015,Manly - Lota
301031016,Manly West
301031017,Murarrie
301031018,Tingalpa
301031019,Wakerley
301031020,Wynnum
301031021,Wynnum West - Hemmant
302011022,Bald Hills
302011023,Bridgeman Downs
302011024,Carseldine
302011025,Everton Park
302011026,McDowall
302021027,Aspley
302021028,Chermside
302021029,Chermside West
302021030,Geebung
302021031,Kedron - Gordon Park
302021032,Stafford
302021033,Stafford Heights
302021034,Wavell Heights
302031035,Boondall
302031036,Brisbane Airport
302031037,Eagle Farm - Pinkenba
302031038,Northgate - Virginia
302031039,Nudgee - Banyo
302031040,Nundah
302041041,Bracken Ridge
302041042,Brighton (Qld)
302041043,Deagon
302041044,Sandgate - Shorncliffe
302041045,Taigum - Fitzgibbon
302041046,Zillmere
303011047,Camp Hill
303011048,Cannon Hill
303011049,Carina
303011050,Carina Heights
303011051,Carindale
303021052,Annerley
303021053,Coorparoo
303021054,Fairfield - Dutton Park
303021055,Greenslopes
303021056,Holland Park
303021057,Holland Park West
303021058,Woolloongabba
303021059,Yeronga
303031060,Eight Mile Plains
303031061,Macgregor (Qld)
303031062,Mansfield (Qld)
303031063,Mount Gravatt
303031064,Rochedale - Burbank
303031065,Upper Mount Gravatt
303031066,Wishart
303041067,Coopers Plains
303041068,Moorooka
303041069,Robertson
303041070,Salisbury - Nathan
303041071,Tarragindi
303051072,Algester
303051073,Calamvale - Stretton
303051074,Pallara - Willawong
303051075,Parkinson - Drewvale
303051076,Rocklea - Acacia Ridge
303061077,Kuraby
303061078,Runcorn
303061079,Sunnybank
303061080,Sunnybank Hills
304011081,Jindalee - Mount Ommaney
304011082,Middle Park - Jamboree Heights
304011083,Riverhills
304011084,Seventeen Mile Rocks - Sinnamon Park
304011085,Westlake
304021086,Bellbowrie - Moggill
304021087,Brookfield - Kenmore Hills
304021088,Chapel Hill
304021089,Fig Tree Pocket
304021090,Kenmore
304021091,Pinjarra Hills - Pullenvale
304031092,Chelmer - Graceville
304031093,Corinda
304031094,Indooroopilly
304031095,Sherwood
304031096,St Lucia
304031097,Taringa
304041098,Enoggera
304041099,Enoggera Reservoir
304041100,Keperra
304041101,Mitchelton
304041102,Mount Coot-tha
304041103,The Gap
304041104,Upper Kedron - Ferny Grove
305011105,Brisbane City
305011106,Fortitude Valley
305011107,Highgate Hill
305011108,Kangaroo Point
305011109,New Farm
305011110,South Brisbane
305011111,Spring Hill
305011112,West End
305021113,Balmoral
305021114,Bulimba
305021115,East Brisbane
305021116,Hawthorne
305021117,Morningside - Seven Hills
305021118,Norman Park
