sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Upper Coomera - Willow Vale,309071258,Dietitian,27.01415334819709,942199.6404784181,202146.90950455883,34878,7483,0.21454785251447905,1,1,13.971
Maroochydore - Kuluin,316031427,Dietitian,36.888611670789096,757433.8634363125,183151.9569454679,20533,4965,0.24180587347197194,0.9060339205499327,0.8038995462274985,3.003
Gympie Region,319031514,Dietitian,29.13272906705752,573128.1789362227,177971.8418706544,19673,6109,0.31052711838560465,0.8804084232939547,0.6082874099221763,8.924
Noosa Hinterland,316081549,Dietitian,29.5315615505842,689798.2146985458,173970.42909449153,23358,5891,0.2522048120558267,0.8606138452518273,0.7321147080339457,19.26
Bribie Island,313011363,Dietitian,24.648280954336737,474923.07742816024,171897.1113755444,19268,6974,0.36194727008511524,0.8503573554344532,0.5040577994563974,15.821
Nerang - Mount Nathan,309061248,Dietitian,29.748701777002516,644832.8597183065,143448.23996870613,21676,4822,0.22245801808451743,0.7096237104009303,0.6843908997788213,6.935
Buderim - North,316011413,Dietitian,36.83398493425432,651666.8614568274,130023.96681791774,17692,3530,0.1995252091340719,0.6432152098520478,0.6916441414963099,2.818
Caboolture,313021365,Dietitian,16.108526509001837,469273.59426024155,126451.93309566443,29132,7850,0.2694631333241796,0.625544725890616,0.49806174201251,3.568
Maryborough Region - South,319051525,Dietitian,35.47715973710564,311737.8026099472,117961.55612587623,8787,3325,0.3783999089564129,0.5835437030177103,0.3308617295286347,10.927
Nanango,319021509,Dietitian,28.82979264962116,281580.5848088499,115520.979147032,9767,4007,0.4102590355277977,0.5714704193606619,0.2988544812709465,11.32
Lockyer Valley - East,310021280,Dietitian,20.753453278919757,438001.63145160145,107523.64143808326,21105,5181,0.24548685145700072,0.5319084110739688,0.46487136338663704,4.358
Warwick,307031189,Dietitian,28.92174393189468,444700.73469681264,107299.66998732927,15376,3710,0.24128511966701352,0.5308004473098781,0.4719814311020201,2.023
Surfers Paradise,309101270,Dietitian,22.7019384032534,601283.5405485695,106494.7930496617,26486,4691,0.1771124367590425,0.5268188037634086,0.6381699957381192,1.261
Carrara,309061246,Dietitian,35.72414704327068,466593.0845321584,101456.57760288873,13061,2840,0.2174412372712656,0.5018952693936717,0.4952167932214851,4.681
Cooloola,319031511,Dietitian,32.108631137108524,208288.690186423,99889.95146754461,6487,3111,0.4795745336827501,0.4941453308010721,0.22106640804984898,14.998
Mudgeeraba - Bonogin,309051244,Dietitian,37.22751308187049,725266.409861001,99062.41231085738,19482,2661,0.13658761934093008,0.49005157958461554,0.769758741886947,7.019
Oxenford - Maudsland,309071256,Dietitian,26.869883988562734,460657.2910999195,98612.47423802523,17144,3670,0.21406906206252915,0.48782578214880556,0.4889168614689906,7.321
Buderim - South,316011414,Dietitian,30.816122947405443,534567.2847686423,98087.71934159152,17347,3183,0.18348994062373897,0.48522987357063424,0.5673609517588083,2.629
Kingaroy Region - North,319021506,Dietitian,33.07593153303666,321332.6748434512,93307.20285469643,9715,2821,0.2903757076685538,0.4615811494886701,0.3410452106310389,49.472
Nambour,316071548,Dietitian,20.384974395731554,429287.1757997108,92914.71329574443,21059,4558,0.21643952704306949,0.45963954395082657,0.4556223090700107,1.281
