sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Upper Coomera - Willow Vale,309071258,Exercise,32.94206894847457,1148953.480784896,246505.5019414352,34878,7483,0.21454785251447905,1,1,12.648
Gympie Region,319031514,Exercise,37.581994934395475,739350.5863443622,229588.40705422199,19673,6109,0.31052711838560465,0.931372343602974,0.6434991483199844,8.924
Noosa Hinterland,316081549,Exercise,37.23979864279463,869847.216698397,219379.65380470318,23358,5891,0.2522048120558267,0.8899584474865937,0.7570778375676007,20.718
Bribie Island,313011363,Exercise,29.3656062775695,565816.5017562092,204795.73817976972,19268,6974,0.36194727008511524,0.8307958101009246,0.4924624984552702,15.821
Nerang - Mount Nathan,309061248,Exercise,35.1984331316582,762961.236561823,169726.84456085582,21676,4822,0.22245801808451743,0.6885316685595908,0.6640488490801331,4.989
Maryborough Region - South,319051525,Exercise,46.71601541027862,410493.6274101183,155330.75123917643,8787,3325,0.3783999089564129,0.6301309707727332,0.3572761075841762,10.927
Caboolture,313021365,Exercise,19.34544615196808,563571.5372991341,151861.75229294942,29132,7850,0.2694631333241796,0.6160582668415602,0.49050857734826286,4.832
Carrara,309061246,Exercise,52.41352505660871,684573.0507643664,148854.41116076874,13061,2840,0.2174412372712656,0.6038583722814169,0.5958231227052876,5.438
Nanango,319021509,Exercise,36.65634781520061,358022.54911106435,146881.98569550883,9767,4007,0.4102590355277977,0.5958568248525546,0.31160752380199486,8.802
Surfers Paradise,309101270,Exercise,30.038869255355692,795609.4910973508,140912.33567687354,26486,4691,0.1771124367590425,0.5716397182499866,0.6924644943447477,1.261
Warwick,307031189,Exercise,36.61164201585327,562940.6076357599,135829.19187881562,15376,3710,0.24128511966701352,0.5510189054972328,0.48995944313706474,3.435
Buderim - North,316011413,Exercise,37.68030981785116,666640.0412974227,133011.4936570146,17692,3530,0.1995252091340719,0.5395883362011752,0.5802149977752051,2.885
Lockyer Valley - East,310021280,Exercise,25.456493185561104,537259.2886812671,131890.09119439207,21105,5181,0.24548685145700072,0.5350391376892127,0.46760752081471896,4.358
Cooloola,319031511,Exercise,41.943895146741525,272090.04781691224,130487.45780151288,6487,3111,0.4795745336827501,0.5293490683729813,0.23681554768521754,14.998
Ormeau - Yatala,309071255,Exercise,31.198690414476346,693983.6695796119,128663.39926930044,22244,4124,0.1853983096565366,0.521949401761703,0.6040137230843531,18.162
Robina,309081261,Exercise,33.58518626123815,856052.8126126991,126515.3966460841,25489,3767,0.14778924241829808,0.5132355896711045,0.7450717778651014,0.973
Kingaroy Region - North,319021506,Exercise,43.36598924977189,421300.5855615339,122335.45567360651,9715,2821,0.2903757076685538,0.4962788039622376,0.3666820220377649,51.848
Oxenford - Maudsland,309071256,Exercise,32.48611624332933,556941.9768756379,119224.04661301863,17144,3670,0.21406906206252915,0.4836567365597539,0.48473849132270225,7.113
Mudgeeraba - Bonogin,309051244,Exercise,43.925442831379534,855755.4772409361,116885.60337430095,19482,2661,0.13658761934093008,0.47417036315104494,0.7448129898665135,7.048
Beaudesert,311011305,Exercise,28.541028924203932,422064.73573112773,113678.91820510426,14788,3983,0.26934000540979175,0.46116178872190894,0.3673471056833375,41.187
