sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Upper Coomera - Willow Vale,309071258,GP,14.178308816182163,494511.0548908015,106096.28487149112,34878,7483,0.21454785251447905,1,0.987909495180001,8.993
Bribie Island,313011363,GP,15.057393145802648,290125.8511333254,105010.25979882765,19268,6974,0.36194727008511524,0.9897637784963073,0.579598939795356,10.589
Noosa Hinterland,316081549,GP,16.695672201587552,389977.511284682,98354.20493955226,23358,5891,0.2522048120558267,0.9270277942218577,0.7790776009848304,12.104
Gympie Region,319031514,GP,16.01660179139646,315094.6070421426,97845.42034364099,19673,6109,0.31052711838560465,0.9222322955243534,0.6294802736931375,7.369
Maroochydore - Kuluin,316031427,GP,17.916825878152075,367886.18575609656,88957.04048502506,20533,4965,0.24180587347197194,0.8384557535899968,0.7349446538343947,1.687
Nerang - Mount Nathan,309061248,GP,16.045028893688016,347792.0462995815,77369.12932536361,21676,4822,0.22245801808451743,0.7292350473824487,0.6948015853018905,4.985
Caboolture,313021365,GP,9.693014458375663,282376.8972013998,76090.16349824895,29132,7850,0.2694631333241796,0.7171802819525017,0.5641184665251433,2.231
Buderim - North,316011413,GP,21.337580015920377,377504.4656416633,75321.65745619893,17692,3530,0.1995252091340719,0.7099368045491141,0.7541595731618269,2.151
Mudgeeraba - Bonogin,309051244,GP,25.693620555041665,500563.11565332167,68370.72429696587,19482,2661,0.13658761934093008,0.6444214741334228,1,6.897
Lockyer Valley - East,310021280,GP,12.092695043433693,255216.3288916681,62652.253020029966,21105,5181,0.24548685145700072,0.5905225908326325,0.5098584392470998,4.358
Nanango,319021509,GP,15.621330296413657,152573.53300507218,62594.67049772952,9767,4007,0.4102590355277977,0.5899798524853832,0.3048037864434683,9.103
Maryborough Region - South,319051525,GP,18.802589515973484,165218.35407685902,62518.61014061183,8787,3325,0.3783999089564129,0.5892629531405115,0.3300649786415454,10.892
Buderim - South,316011414,GP,19.517901825949288,338577.0429747423,62125.481511996586,17347,3183,0.18348994062373897,0.5855575582806309,0.6763923117524162,2.764
Warwick,307031189,GP,15.670681678015868,240952.40148117198,58138.22902543887,15376,3710,0.24128511966701352,0.5479761058161335,0.48136267724538057,3.279
Robina,309081261,GP,15.000803387423531,382355.47754203837,56508.02636042444,25489,3767,0.14778924241829808,0.5326107924407499,0.7638506825318085,0.973
Cooloola,319031511,GP,17.371467763670857,112688.71138293286,54042.63621278004,6487,3111,0.4795745336827501,0.5093735023638108,0.22512388120298185,14.997
Nambour,316071548,GP,11.79551736297099,248401.80014680608,53763.96814042178,21059,4558,0.21643952704306949,0.5067469441134839,0.496244713960993,1.092
Marcoola - Mudjimba,316031426,GP,18.553193360195184,220875.76695312365,53433.19687736213,11905,2880,0.24191516169676605,0.5036292924119159,0.44125457918496946,4.173
Beaudesert,311011305,GP,13.000016769392287,192244.24798577314,51779.06679248948,14788,3983,0.26934000540979175,0.4880384535161316,0.38405596012574966,13.304
Surfers Paradise,309101270,GP,10.976022510715914,290710.9322188217,51488.521597768355,26486,4691,0.1771124367590425,0.48529994862811365,0.5807677855756382,0.535
