sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Hospital,39.88235852026621,768453.2839684893,278139.5683203365,19268,6974,0.36194727008511524,1,0.6242597315394566,39.44
Upper Coomera - Willow Vale,309071258,Hospital,35.29397520760233,1230983.267290754,264104.8164784882,34878,7483,0.21454785251447905,0.9495406139924532,1,17.164
Noosa Hinterland,316081549,Hospital,40.06500761691013,935838.4479157869,236022.95987121758,23358,5891,0.2522048120558267,0.848577429297608,0.760236530245821,21.039
Gympie Region,319031514,Hospital,38.34237562643122,754309.5556987814,234233.57270186834,19673,6109,0.31052711838560465,0.8421440146628072,0.6127699504469512,9.693
Nerang - Mount Nathan,309061248,Hospital,36.2544654517713,785851.7931325947,174819.0324084412,21676,4822,0.22245801808451743,0.6285298904580888,0.6383935622960659,8.941
Coolum Beach,316031425,Hospital,60.9390561346167,962288.6354217323,163072.9142162343,15791,2676,0.1694636185168767,0.5862988685896764,0.7817235708976076,20.721
Nanango,319021509,Hospital,39.16701158044825,382544.20210623805,156942.21540285615,9767,4007,0.4102590355277977,0.5642570611244496,0.31076312105214215,9.953
Maryborough Region - South,319051525,Hospital,47.13660591054528,414189.35613596137,156729.21465256304,8787,3325,0.3783999089564129,0.5634912558433837,0.3364703380960996,38.047
Maroochydore - Kuluin,316031427,Hospital,31.28775265390676,642431.4252426676,155343.69192664706,20533,4965,0.24180587347197194,0.5585098620263046,0.5218847748081757,2.637
Caboolture,313021365,Hospital,19.423565233189645,565847.3023732807,152474.98708053873,29132,7850,0.2694631333241796,0.5481959578830278,0.4596709942440099,4.391
Lockyer Valley - East,310021280,Hospital,28.367163238716977,598688.9801531218,146970.27273979265,21105,5181,0.24548685145700072,0.5284047632177429,0.48635021779846294,4.896
Warwick,307031189,Hospital,39.41483283615425,606042.4696887077,146229.02982213223,15376,3710,0.24128511966701352,0.525739759737164,0.492323889196751,2.023
Cooloola,319031511,Hospital,43.2027758679388,280256.407055319,134403.83572515758,6487,3111,0.4795745336827501,0.4832244349008378,0.2276687380748315,49.547
Surfers Paradise,309101270,Hospital,28.468663418651442,754021.0193064021,133546.50009689393,26486,4691,0.1771124367590425,0.48014204129017307,0.6125355553905388,3.722
Beaudesert,311011305,Hospital,31.938163983269302,472301.56898458645,127209.70714536164,14788,3983,0.26934000540979175,0.45735926000594335,0.38367830135016,22.281
Tamborine - Canungra,309041242,Hospital,37.49651968722992,572571.8556240009,124975.90011753733,15270,3333,0.21827111984282907,0.44932801496837427,0.46513374376254735,33.63
Kingaroy Region - North,319021506,Hospital,43.903742715330324,426524.86047943414,123852.45819994685,9715,2821,0.2903757076685538,0.44528888481377293,0.34649119270172046,8.982
Jimboomba,311041321,Hospital,32.49677944082563,1012177.1892433958,123227.78763961079,31147,3792,0.12174527241788936,0.443042995945431,0.8222509729730738,22.567
Marcoola - Mudjimba,316031426,Hospital,41.93173753772736,499197.3353866442,120763.40410865478,11905,2880,0.24191516169676605,0.43418275521866845,0.40552731190677954,8.489
Buderim - North,316011413,Hospital,34.07822183019129,602911.9006197443,120296.12306057526,17692,3530,0.1995252091340719,0.4325027315855644,0.4897807440930378,2.885
