sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Surfers Paradise,309101270,Neurosurgery,343.01767107839675,9085166.036182417,1609095.8950287593,26486,4691,0.1771124367590425,1,1,72.081
Robina,309081261,Neurosurgery,283.52725170842575,7226826.118796064,1068047.1571856397,25489,3767,0.14778924241829808,0.663756063566709,0.7954533896259725,77.946
Southport - South,309091541,Neurosurgery,317.34325444573733,5885130.653696199,919343.4081293009,18545,2897,0.15621461310326235,0.5713415906221484,0.6477735938185593,69.466
Mermaid Waters,309011228,Neurosurgery,328.33902012899046,4196829.355288756,870098.4033418248,12782,2650,0.20732279768424347,0.5407374451889169,0.46194305514885914,77.391
Nerang - Mount Nathan,309061248,Neurosurgery,179.85537590560787,3898545.128129956,867262.6226168411,21676,4822,0.22245801808451743,0.5389751010466288,0.4291110490005005,69.641
Carrara,309061246,Neurosurgery,297.67275407888945,3887903.841024375,845390.6215840459,13061,2840,0.2174412372712656,0.5253823741616943,0.4279397674781595,70.456
Upper Coomera - Willow Vale,309071258,Neurosurgery,110.76155928823823,3863141.664855173,828828.7481538866,34878,7483,0.21454785251447905,0.5150897163522209,0.4252142062643539,64.946
Gympie Region,319031514,Neurosurgery,134.68221888066594,2649603.2920393413,822773.6751419883,19673,6109,0.31052711838560465,0.5113266882874516,0.29164060199748465,94.648
Noosa Hinterland,316081549,Neurosurgery,133.59915728200275,3120609.1157930205,787032.6355482782,23358,5891,0.2522048120558267,0.4891148116030783,0.34348399394848034,70.686
Burleigh Waters,309011226,Neurosurgery,245.77913473026817,3637285.4148732387,780348.7527686015,14799,3175,0.2145415230758835,0.4849609990178083,0.4003543138768683,83.721
Bribie Island,313011363,Neurosurgery,103.07079777077671,1985968.1314473257,718815.7436533968,19268,6974,0.36194727008511524,0.44672026438831325,0.21859458853454578,83.298
Ashmore,309091263,Neurosurgery,271.4192425381736,3387583.566118945,717903.8965134692,12481,2645,0.2119221216248698,0.4461535814810081,0.3728697475233382,67.495
Labrador,309031238,Neurosurgery,221.51259768017354,4321710.780740186,715928.7157023209,19510,3232,0.16565863659661711,0.4449260717861226,0.4756886955646841,67.546
Mermaid Beach - Broadbeach,309011227,Neurosurgery,361.10395192085065,4742739.304528452,688264.1323611413,13134,1906,0.1451195370793361,0.42773344614668846,0.5220311093534346,77.586
Gympie - North,319031512,Neurosurgery,155.70115031672688,2295502.0591195044,682749.5441388474,14743,4385,0.29742928847588684,0.4243063115431319,0.25266484398606254,94.765
Palm Beach,309021234,Neurosurgery,221.04188023239402,3443611.452140467,607865.1706390836,15579,2750,0.17651967392002055,0.3777681445320071,0.3790367108785907,87.384
Southport - North,309091540,Neurosurgery,236.05542787436877,3808754.32875294,584945.3502726859,16135,2478,0.15357917570498916,0.3635242325083622,0.41922781747568116,66.133
Benowa,309101267,Neurosurgery,390.52012516734953,3646676.9288127096,581093.9462490161,9338,1488,0.1593488969800814,0.36113071200062336,0.40138803344809776,69.743
Caboolture,313021365,Neurosurgery,73.80080393195986,2149965.020145855,579336.310865885,29132,7850,0.2694631333241796,0.3600383996104412,0.23664564979698152,46.154
Broadbeach Waters,309011224,Neurosurgery,440.7606064732412,3630985.876126561,574311.0702346333,8238,1303,0.15816945860645787,0.35691537838667386,0.39966092657700064,76.825
