sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Occupational,36.774086496018825,708563.0986052908,256462.4792232353,19268,6974,0.36194727008511524,1,0.7274741486573532,39.708
Upper Coomera - Willow Vale,309071258,Occupational,27.926042368972666,974004.5057450286,208970.57504702246,34878,7483,0.21454785251447905,0.814819289277501,1,12.534
Noosa Hinterland,316081549,Occupational,35.17139596593533,821533.4669723174,207194.69363532503,23358,5891,0.2522048120558267,0.8078947620832068,0.8434596165896747,20.718
Gympie Region,319031514,Occupational,33.8250168060957,665439.5556263207,206637.02766843862,19673,6109,0.31052711838560465,0.8057203076812394,0.6831996686887165,8.885
Nerang - Mount Nathan,309061248,Occupational,40.00779864056873,867209.0433329678,192917.6050448224,21676,4822,0.22245801808451743,0.7522254546907781,0.8903542419135201,15.166
Coolum Beach,316031425,Occupational,60.468173881559096,954852.9337636997,161812.83330705215,15791,2676,0.1694636185168767,0.6309415466821707,0.9803372860511773,18.503
Maroochydore - Kuluin,316031427,Occupational,31.79875340710379,652923.8037080622,157880.81066627032,20533,4965,0.24180587347197194,0.6156097809880582,0.6703498801667579,2.851
Nanango,319021509,Occupational,34.44609503634179,336435.0102199502,138025.50281062155,9767,4007,0.4102590355277977,0.5381898483890057,0.3454142236874015,9.082
Maryborough Region - South,319051525,Occupational,41.321694598168406,363093.7304341058,137394.63453890994,8787,3325,0.3783999089564129,0.5357299631316287,0.37278444636800806,36.61
Caboolture,313021365,Occupational,16.784765050005202,488973.7754367515,131760.40564254083,29132,7850,0.2694631333241796,0.5137609448431295,0.502024141112909,3.568
Surfers Paradise,309101270,Occupational,27.94953088878303,740271.2751203073,131111.2493992812,26486,4691,0.1771124367590425,0.5112297510200573,0.7600285940710965,2.626
Lockyer Valley - East,310021280,Occupational,25.09813379780217,529696.1138026149,130033.43120641305,21105,5181,0.24548685145700072,0.507027116014217,0.5438333300085131,4.956
Marcoola - Mudjimba,316031426,Occupational,44.937999024341984,534986.8783847913,129421.43719010492,11905,2880,0.24191516169676605,0.5046408253639756,0.5492653013710372,8.296
Carrara,309061246,Occupational,45.10074581637228,589060.8411076383,128086.11811849728,13061,2840,0.2174412372712656,0.4994341414246641,0.6047824600739994,9.454
Warwick,307031189,Occupational,34.19104221771051,525721.4651395169,126848.766627706,15376,3710,0.24128511966701352,0.4946094532498522,0.539752600771991,2.023
Cooloola,319031511,Occupational,37.92947528975371,246048.50620463234,117998.5976264238,6487,3111,0.4795745336827501,0.4601008224821575,0.2526153675402422,49.81
Tamborine - Canungra,309041242,Occupational,33.58129627748368,512786.39415717585,111926.46049285312,15270,3333,0.21827111984282907,0.4364243098321911,0.526472301855461,34.565
Beaudesert,311011305,Occupational,27.810224837445997,411257.6048961514,110768.12552754741,14788,3983,0.26934000540979175,0.4319077233560171,0.42223378071703593,21.506
Buderim - North,316011413,Occupational,30.731269016388328,543697.6114379423,108481.3796278508,17692,3530,0.1995252091340719,0.42299123036015035,0.5582085177543002,2.622
Kingaroy Region - North,319021506,Occupational,38.22895653364077,371394.31272432004,107843.8863814006,9715,2821,0.2903757076685538,0.4205055129624982,0.38130656535334584,51.924
