sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Gympie Region,319031514,Opthamology,90.30383267241568,1776547.3001644337,551666.1137957873,19673,6109,0.31052711838560465,1,0.817121790095404,61.398
Gympie - North,319031512,Opthamology,125.67552771079605,1852834.3050402661,551087.1890118407,14743,4385,0.29742928847588684,0.9989505884638024,0.8522099490087003,61.514
Upper Coomera - Willow Vale,309071258,Opthamology,62.335925194761536,2174152.398942893,466459.72823240055,34878,7483,0.21454785251447905,0.8455471825573684,1,23.805
Noosa Hinterland,316081549,Opthamology,69.62409339267471,1626279.573466096,410155.5341762467,23358,5891,0.2522048120558267,0.743485097089135,0.7480062456784624,21.039
Bribie Island,313011363,Opthamology,58.68614370177201,1130764.6168457433,409277.166176158,19268,6974,0.36194727008511524,0.7418928876383042,0.5200944595215767,39.72
Nambour,316071548,Opthamology,79.97419203271268,1684176.5100168963,364522.36728510435,21059,4558,0.21643952704306949,0.6607662826650273,0.7746359044728278,17.474
Lockyer Valley - East,310021280,Opthamology,62.97772096630699,1329144.8009939091,326287.5723264365,21105,5181,0.24548685145700072,0.5914584277823158,0.6113392978524229,43.902
Maryborough Region - South,319051525,Opthamology,96.24077860347126,845667.7215887018,320000.5888565419,8787,3325,0.3783999089564129,0.5800620717026639,0.38896432559183924,36.536
Nanango,319021509,Opthamology,78.338293957648645,765130.1170843543,313901.5438882981,9767,4007,0.4102590355277977,0.5690063899855491,0.35192110610846444,33.093
Nerang - Mount Nathan,309061248,Opthamology,64.71503155487333,1402763.0239834343,312055.8821575992,21676,4822,0.22245801808451743,0.5656607762446586,0.6451999522505781,13.166
Beaudesert,311011305,Opthamology,72.56877398606589,1073147.0297059424,289041.42678650044,14788,3983,0.26934000540979175,0.5239426884455988,0.4935932873094468,72.406
Warwick,307031189,Opthamology,77.32879762039266,1189007.5922111575,286889.8391716568,15376,3710,0.24128511966701352,0.5200425257184749,0.546883278646553,86.228
Gympie - South,319031513,Opthamology,133.46248339304844,914618.398692561,283340.85224344186,6853,2123,0.3097913322632424,0.5136093103378965,0.42067814525663555,60.369
Cooloola,319031511,Opthamology,86.07848605193216,558391.1390188839,267790.17010756093,6487,3111,0.4795745336827501,0.48542073440945477,0.2568316458820378,68.57
Kingaroy Region - North,319021506,Opthamology,91.62935854015798,890179.2182176347,258486.42044178565,9715,2821,0.2903757076685538,0.46855591448828904,0.4094373598881356,74.236
Tamborine - Canungra,309041242,Opthamology,77.43207048184424,1182387.7162577615,258081.0909159868,15270,3333,0.21827111984282907,0.46782117745140644,0.5438384709520165,37.855
Jimboomba,311041321,Opthamology,67.3520257367006,2097813.5456210133,255398.88159356863,31147,3792,0.12174527241788936,0.46295916172243046,0.9648879934272332,35.615
Ormeau - Yatala,309071255,Opthamology,55.68449573104102,1238645.9230412764,229642.86039481318,22244,4124,0.1853983096565366,0.4162714632130207,0.5697143970420498,32.068
Buderim - South,316011414,Opthamology,72.11618907888875,1250999.531951483,229545.8298381029,17347,3183,0.18348994062373897,0.4160955768312332,0.5753964315287828,11.046
Coolum Beach,316031425,Opthamology,83.03652989682762,1311229.843600805,222205.7540039107,15791,2676,0.1694636185168767,0.40279029008144873,0.603099324701592,20.721
