sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Orthopaedic,84.75054542266908,1632973.509203988,591050.3037776941,19268,6974,0.36194727008511524,1,0.7916591415073232,61.021
Caboolture,313021365,Orthopaedic,67.09562610847155,1954629.7797919933,526700.6649515016,29132,7850,0.2694631333241796,0.8911266292988902,0.9475968377399313,30.124
Gympie Region,319031514,Orthopaedic,78.67561924046262,1547785.4573176212,480629.35793998616,19673,6109,0.31052711838560465,0.8131784297682393,0.7503603086463316,9.612
Noosa Hinterland,316081549,Orthopaedic,78.96951989742763,1844570.0457641147,465209.4417157462,23358,5891,0.2522048120558267,0.7870894215642275,0.8942403110945559,21.039
Maryborough Region - South,319051525,Orthopaedic,112.03333165422958,984436.8852457154,372510.8277503134,8787,3325,0.3783999089564129,0.6302523243274099,0.47725113423405374,71.881
Upper Coomera - Willow Vale,309071258,Orthopaedic,49.378715944502815,1722230.8547123692,369500.9314127146,34878,7483,0.21454785251447905,0.6251598705745549,0.8349307519285065,12.492
Nanango,319021509,Orthopaedic,89.93594254997879,878404.3508856428,360373.32179776503,9767,4007,0.4102590355277977,0.6097168371193472,0.4258469781652519,33.093
Lockyer Valley - East,310021280,Orthopaedic,67.40258728859575,1422531.6047258135,349212.8047422146,21105,5181,0.24548685145700072,0.590834320717244,0.6896377330170116,46.936
Warwick,307031189,Orthopaedic,89.42525281144012,1375002.6872287032,331767.68793044286,15376,3710,0.24128511966701352,0.5613188688170057,0.666595900549762,86.228
Buderim - South,316011414,Orthopaedic,100.45591659619843,1742608.7851942542,319751.1825256996,17347,3183,0.18348994062373897,0.5409881028433824,0.8448098925637082,10.964
Caboolture - South,313021366,Orthopaedic,57.07979790190452,1250218.8134454146,318219.8733031177,21903,5575,0.25453134273843764,0.5383972756112593,0.6061011688003224,25.49
Cooloola,319031511,Orthopaedic,99.76956538544398,647205.1706553751,310383.11791411624,6487,3111,0.4795745336827501,0.5251382427693626,0.3137625239431432,49.628
Surfers Paradise,309101270,Orthopaedic,64.23566643460595,1701345.8611869728,301329.5112447365,26486,4691,0.1771124367590425,0.5098204151470541,0.8248057891219998,4.674
Beaudesert,311011305,Orthopaedic,73.86992046032913,1092388.3837673473,294223.8931934909,14788,3983,0.26934000540979175,0.49779839602984866,0.5295855965890022,70.532
Kingaroy Region - North,319021506,Orthopaedic,103.61427615543093,1006612.6928500115,292295.87303447066,9715,2821,0.2903757076685538,0.4945363722279872,0.4880018786345593,74.236
Buderim - North,316011413,Orthopaedic,81.75552664854965,1446418.7774661405,288597.0090693803,17692,3530,0.1995252091340719,0.48827825182529205,0.7012181405117188,6.255
Coolum Beach,316031425,Orthopaedic,107.68693665867168,1700484.4167770846,288170.2424986054,15791,2676,0.1694636185168767,0.487556204026573,0.8243881642565964,18.07
Maroochydore - Kuluin,316031427,Orthopaedic,52.78290772274594,1083791.4442711424,262067.13684343357,20533,4965,0.24180587347197194,0.44339227163649725,0.5254178340975741,1.844
Nerang - Mount Nathan,309061248,Orthopaedic,52.09931463415549,1129304.7440099544,251222.89516589776,21676,4822,0.22245801808451743,0.4250448626118763,0.5474825029947182,6.682
Jimboomba,311041321,Orthopaedic,66.22541455636608,2062722.9871871343,251126.77199774017,31147,3792,0.12174527241788936,0.4248822314998657,1,39.021
