sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Noosa Hinterland,316081549,Physiotherapy,25.758954474989775,601677.6586268111,151746.00081216477,23358,5891,0.2522048120558267,1,0.7704172265648773,20.179
Upper Coomera - Willow Vale,309071258,Physiotherapy,19.95902668882905,696130.9328529795,149353.39671250776,34878,7483,0.21454785251447905,0.9842328358780364,0.8913597753298979,9.138
Bribie Island,313011363,Physiotherapy,21.405626971448598,412443.62048587156,149282.8424988825,19268,6974,0.36194727008511524,0.9837678864675239,0.5281127953700335,13.37
Gympie Region,319031514,Physiotherapy,24.29527604415525,477960.96561666625,148419.84135374444,19673,6109,0.31052711838560465,0.9780807438705582,0.6120043785189903,7.018
Maroochydore - Kuluin,316031427,Physiotherapy,25.117947001238168,515746.8057764233,124710.6068611475,20533,4965,0.24180587347197194,0.8218378487319584,0.6603871990573871,2.196
Robina,309081261,Physiotherapy,30.63974194793913,780976.3825110204,115419.9079178867,25489,3767,0.14778924241829808,0.7606125189470827,1,2.455
Caboolture,313021365,Physiotherapy,14.49447399298512,422253.0163636425,113781.62084493319,29132,7850,0.2694631333241796,0.7498162734830495,0.5406732211363435,4.391
Nerang - Mount Nathan,309061248,Physiotherapy,22.0938020332623,478905.2528729936,106536.3134043908,21676,4822,0.22245801808451743,0.7020699908675965,0.6132134896745558,5.341
Buderim - North,316011413,Physiotherapy,28.745368418370905,508563.05805781804,101471.15051684929,17692,3530,0.1995252091340719,0.6686907725657494,0.6511887804118605,2.447
Maryborough Region - South,319051525,Physiotherapy,29.63329797596922,260387.78931484156,98530.71577009767,8787,3325,0.3783999089564129,0.6493134266652708,0.3334131417362896,36.374
Nanango,319021509,Physiotherapy,24.391451835274175,238231.31007512286,97736.54750394363,9767,4007,0.4102590355277977,0.6440798899532418,0.30504291219300883,8.691
Mudgeeraba - Bonogin,309051244,Physiotherapy,36.50346676393049,711160.5394948939,97135.72505881904,19482,2661,0.13658761934093008,0.640120494371751,0.9106044118880363,6.868
Lockyer Valley - East,310021280,Physiotherapy,17.777495283625388,375194.03796091385,92105.20306446314,21105,5181,0.24548685145700072,0.6069695581531234,0.4804166250899648,4.358
Warwick,307031189,Physiotherapy,24.61870530927815,378537.2128354608,91335.39669742192,15376,3710,0.24128511966701352,0.6018965653696489,0.4846973881826948,2.023
Surfers Paradise,309101270,Physiotherapy,19.399623550827393,513818.42936721427,91003.63407693128,26486,4691,0.1771124367590425,0.5997102631362127,0.6579180124694279,1.042
Cooloola,319031511,Physiotherapy,27.162026374675403,176200.06509251933,84501.06405161518,6487,3111,0.4795745336827501,0.5568585900080019,0.22561510058216513,14.998
Carrara,309061246,Physiotherapy,27.81895262555205,363343.34024233534,79005.82545656784,13061,2840,0.2174412372712656,0.5206451902107347,0.46524241754161905,3.4
Tamborine - Canungra,309041242,Physiotherapy,23.593875586413393,360278.4802045325,78638.38732951584,15270,3333,0.21827111984282907,0.5182237878338325,0.4613180222507543,23.304
Beaudesert,311011305,Physiotherapy,19.621860178385365,290168.0683179628,78153.8690905089,14788,3983,0.26934000540979175,0.5150308322606132,0.37154525388463744,21.263
Kingaroy Region - North,319021506,Physiotherapy,27.395470697360153,266146.99782485387,77282.62283725299,9715,2821,0.2903757076685538,0.509289354735058,0.34078751135742347,48.925
