sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Maroochydore - Kuluin,316031427,Plastic,301.1074315557196,6182638.89213359,1494998.3976741477,20533,4965,0.24180587347197194,1,1,38.021
Bribie Island,313011363,Plastic,128.7460177303849,2480678.269629056,897874.7276517043,19268,6974,0.36194727008511524,0.6005857458098804,0.40123292220500195,78.818
Buderim - North,316011413,Plastic,246.75200165167823,4365536.4132214915,871034.5658304242,17692,3530,0.1995252091340719,0.5826324410685263,0.7060959712164222,39.705
Caloundra - West,316021420,Plastic,177.55591917129564,4221391.978297554,758518.886699775,23775,4272,0.1796845425867508,0.5073710365709054,0.6827815843601337,58.359
Gympie Region,319031514,Plastic,123.93883615176726,2438248.723613717,757142.3500511461,19673,6109,0.31052711838560465,0.5064502752839566,0.3943702302775592,61.398
Buderim - South,316011414,Plastic,234.7737628129408,4072620.463516084,747284.8870335906,17347,3183,0.18348994062373897,0.4998566474694443,0.658718798650498,50.989
Caboolture,313021365,Plastic,88.49151810790778,2577934.9055195693,694658.417147076,29132,7850,0.2694631333241796,0.46465495764262676,0.41696352487925104,47.921
Nambour,316071548,Plastic,141.45016614760192,2978799.0489023486,644729.8573007695,21059,4558,0.21643952704306949,0.43125789185046065,0.48180058723668784,36.033
Marcoola - Mudjimba,316031426,Plastic,213.70519621071995,2544160.360888621,615470.9650868735,11905,2880,0.24191516169676605,0.4116867055137958,0.4115007208533001,32.917
Gympie - North,319031512,Plastic,136.91230257484304,2018498.076860911,600360.4467906867,14743,4385,0.29742928847588684,0.40157932458302353,0.32647840381380255,61.514
Mooloolaba - Alexandra Headland,316031428,Plastic,299.3791121105213,3714696.0230673486,578699.8237096377,12408,1933,0.1557865892972276,0.38709059796315054,0.6008269426496345,42.68
Noosa Hinterland,316081549,Plastic,89.25473399613746,2084812.0766817788,525799.6379712458,23358,5891,0.2522048120558267,0.351705820413762,0.33720424450704467,21.039
Golden Beach - Pelican Waters,316021421,Plastic,177.64124077891495,2312533.672459915,525640.4314648093,13018,2959,0.22730066062375173,0.35159932765317836,0.3740366715258497,65.544
Sippy Downs,316011416,Plastic,226.51548152251004,2523382.464160762,521438.6384648181,11140,2302,0.2066427289048474,0.3487887607612485,0.4081400366712924,51.694
Upper Coomera - Willow Vale,309071258,Plastic,67.71337363844565,2361707.0457617072,506699.1749364888,34878,7483,0.21454785251447905,0.3389295772656271,0.38199013187825,23.805
Mountain Creek,316011415,Plastic,256.81534165892754,3327042.751191406,499762.65486827295,12955,1946,0.15021227325357006,0.33428975953805806,0.5381266493542961,44.266
Maryborough Region - South,319051525,Plastic,144.70299964264947,1271505.257859961,481137.4738118095,8787,3325,0.3783999089564129,0.32183143109741247,0.20565737058940092,131.244
Nanango,319021509,Plastic,116.79713781308823,1140757.6450204328,468006.13121704455,9767,4007,0.4102590355277977,0.31304791493097767,0.18450982904271876,132.276
Caboolture - South,313021366,Plastic,80.4416212701501,1761912.8306800977,448462.0385810868,21903,5575,0.25453134273843764,0.2999749292566361,0.2849774766761564,43.287
Lockyer Valley - East,310021280,Plastic,84.72603248224992,1788142.9155378845,438965.5742905368,21105,5181,0.24548685145700072,0.29362277242133505,0.28922001539067854,43.902
