sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Psychiatry,65.97460618805866,1271198.7120315144,460106.9035555211,19268,6974,0.36194727008511524,1,0.6696973468367343,41.293
Gympie Region,319031514,Psychiatry,74.37977216139102,1463273.2577310454,454386.0281339377,19673,6109,0.31052711838560465,0.9875662039031042,0.7708867300797989,9.612
Noosa Hinterland,316081549,Psychiatry,74.60356183942967,1742589.9974453982,439489.58279608015,23358,5891,0.2522048120558267,0.9551901512450289,0.9180373507839767,21.54
Nambour,316071548,Psychiatry,81.97986325872682,1726413.9403655282,373664.2167332769,21059,4558,0.21643952704306949,0.8121247776239611,0.9095154238766122,15.241
Nerang - Mount Nathan,309061248,Psychiatry,74.7834671320575,1621006.4335544782,360605.8785107812,21676,4822,0.22245801808451743,0.7837436815752252,0.8539842728615024,13.531
Upper Coomera - Willow Vale,309071258,Psychiatry,47.032576761108054,1640402.2122739267,351944.7719033716,34878,7483,0.21454785251447905,0.764919563657237,0.8642024247722203,12.492
Maryborough Region - South,319051525,Psychiatry,101.15856174799401,888880.2820796234,336352.2178120801,8787,3325,0.3783999089564129,0.7310305827034662,0.4682830158102411,71.881
Nanango,319021509,Psychiatry,78.81727598897497,769808.3345843185,315820.8248878227,9767,4007,0.4102590355277977,0.6864074901882288,0.40555311641248926,128.392
Lockyer Valley - East,310021280,Psychiatry,59.97305016294577,1265731.2236889706,310720.37289422203,21105,5181,0.24548685145700072,0.6753221272993297,0.6668169455255886,43.902
Maroochydore - Kuluin,316031427,Psychiatry,61.856163655826464,1270092.6083450848,307115.8525511784,20533,4965,0.24180587347197194,0.6674880341457836,0.6691146254281007,2.317
Warwick,307031189,Psychiatry,76.47578766569924,1175891.7111477917,283725.1722397442,15376,3710,0.24128511966701352,0.616650543704583,0.6194873796438057,87.058
Cooloola,319031511,Psychiatry,89.67176950140774,581700.768755632,278968.8749188795,6487,3111,0.4795745336827501,0.6063131693159137,0.306453631364974,49.628
Coolum Beach,316031425,Psychiatry,103.89110249762356,1640544.3995399738,278012.59028364066,15791,2676,0.1694636185168767,0.6042347726914575,0.8642773323644988,20.091
Kingaroy Region - North,319021506,Psychiatry,93.94105635136678,912637.3624535283,265007.7199672057,9715,2821,0.2903757076685538,0.5759698842145872,0.4807988038962479,122.566
Beaudesert,311011305,Psychiatry,63.46175613753407,938472.4497618538,252768.17469579817,14788,3983,0.26934000540979175,0.5493683592715245,0.4944093348556688,72.606
Surfers Paradise,309101270,Psychiatry,51.32109581067853,1359290.5436416315,240747.260447893,26486,4691,0.1771124367590425,0.5232420087320903,0.7161061933442985,2.529
Jimboomba,311041321,Psychiatry,60.94227224249167,1898168.9535368881,231093.09634352842,31147,3792,0.12174527241788936,0.5022595717598104,1,35.814
Caboolture,313021365,Psychiatry,29.295998770591936,853451.0361848843,229973.5903491467,29132,7850,0.2694631333241796,0.49982642853650594,0.44961805670387534,6.822
Marcoola - Mudjimba,316031426,Psychiatry,79.72221810452021,949093.0065343131,229599.9881410182,11905,2880,0.24191516169676605,0.4990144385288763,0.5000044936810567,7.226
Tamborine - Canungra,309041242,Psychiatry,67.63512541699902,1032788.3651175749,225427.87301485773,15270,3333,0.21827111984282907,0.4899467303638389,0.5440971749080418,34.815
