sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Upper Coomera - Willow Vale,309071258,Psychologist,35.076281129735236,1223390.5332429055,262475.81169380876,34878,7483,0.21454785251447905,1,1,13.09
Gympie Region,319031514,Psychologist,42.229799740053096,830786.8502860646,257981.84661198437,19673,6109,0.31052711838560465,0.9828785553502094,0.6790855640216982,8.905
Noosa Hinterland,316081549,Psychologist,40.462935335173896,945133.2435589918,238367.15205950942,23358,5891,0.2522048120558267,0.9081490234139239,0.7725523599186905,12.083
Bribie Island,313011363,Psychologist,33.15265264553592,638785.3111741862,231206.59954996756,19268,6974,0.36194727008511524,0.8808682143239991,0.522143415219116,16.158
Maroochydore - Kuluin,316031427,Psychologist,43.06455189633487,884244.4440874439,213815.50016530263,20533,4965,0.24180587347197194,0.8146103017474584,0.7227818264569456,1.764
Nerang - Mount Nathan,309061248,Psychologist,43.172749328106185,935812.5144360296,208178.997260128,21676,4822,0.22245801808451743,0.7931359309519129,0.7649335915289636,5.37
Maryborough Region - South,319051525,Psychologist,54.165635641941144,475953.4403857369,180100.73850945433,8787,3325,0.3783999089564129,0.6861612784325852,0.38904456708856666,36.619
Buderim - North,316011413,Psychologist,48.769569946049046,862831.2314854997,172156.58190955312,17692,3530,0.1995252091340719,0.6558950358076516,0.7052786563570568,2.501
Nanango,319021509,Psychologist,42.055804265079374,410759.0402570302,168517.60769017306,9767,4007,0.4102590355277977,0.642030999362171,0.3357546336149992,33.59
Robina,309081261,Psychologist,44.175991653592284,1126001.8512584139,166410.96055908216,25489,3767,0.14778924241829808,0.6340049373890837,0.9203944453237362,2.528
Lockyer Valley - East,310021280,Psychologist,31.385515067372786,662391.2954969027,162608.3535640584,21105,5181,0.24548685145700072,0.6195174805431185,0.5414389579597835,22.473
Caboolture,313021365,Psychologist,20.244964691823387,589776.3114021989,158922.97283081358,29132,7850,0.2694631333241796,0.6054766410864755,0.4820834356457278,4.385
Carrara,309061246,Psychologist,55.571996179828844,725825.8421047445,157824.46915071394,13061,2840,0.2174412372712656,0.6012914795166883,0.5932903863337571,3.4
Warwick,307031189,Psychologist,40.95792486687681,629769.0527530978,151953.90125611296,15376,3710,0.24128511966701352,0.5789253503990487,0.5147735213249819,3.666
Cooloola,319031511,Psychologist,48.324380214143915,313480.2544491516,150337.1468462017,6487,3111,0.4795745336827501,0.5727657183953299,0.25623890812543154,14.998
Mudgeeraba - Bonogin,309051244,Psychologist,52.6122211657019,1024991.2927502043,140001.12052193275,19482,2661,0.13658761934093008,0.5333867514056918,0.8378283670654261,6.817
Kingaroy Region - North,319021506,Psychologist,48.29141679984614,469151.1142105053,136230.08679236597,9715,2821,0.2903757076685538,0.5190195847504806,0.38348434245841495,72.758
Nambour,316071548,Psychologist,29.636325983639654,624111.3888894675,135082.37383342953,21059,4558,0.21643952704306949,0.5146469419856864,0.5101489442092564,1.376
Oxenford - Maudsland,309071256,Psychologist,35.9642063883461,616570.3543218055,131988.63744523018,17144,3670,0.21406906206252915,0.502860193453565,0.5039848989900471,7.074
Beaudesert,311011305,Psychologist,31.296758940688935,462816.471214908,124654.99086076402,14788,3983,0.26934000540979175,0.4749199175967511,0.37830640228030543,21.359
