sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Rehabilitation,58.797808178650826,1132916.1679862442,410055.9142379109,19268,6974,0.36194727008511524,1,0.7678208472258592,60.942
Caboolture,313021365,Rehabilitation,45.508659798271175,1325758.2772432358,357242.9794164287,29132,7850,0.2694631333241796,0.8712055283493837,0.8985173593726634,30.045
Gympie Region,319031514,Rehabilitation,56.53136067061763,1112141.4584730607,345350.0823368031,19673,6109,0.31052711838560465,0.8422024176352544,0.7537410278093556,47.514
Upper Coomera - Willow Vale,309071258,Rehabilitation,40.71260902347964,1419974.3775209228,304652.45332269813,34878,7483,0.21454785251447905,0.7429534430417736,0.9623712331028937,24.003
Gympie - North,319031512,Rehabilitation,65.78671206815632,969893.4960208286,288474.73241886543,14743,4385,0.29742928847588684,0.7035009675570607,0.6573341142772051,47.63
Noosa Hinterland,316081549,Rehabilitation,48.04069810506576,1122134.626338126,283007.75253694237,23358,5891,0.2522048120558267,0.6901686884895013,0.7605137819048887,20.658
Maroochydore - Kuluin,316031427,Rehabilitation,55.51734140558383,1139937.5710808528,275643.60007872374,20533,4965,0.24180587347197194,0.6722097901965577,0.772579522073266,15.482
Lockyer Valley - East,310021280,Rehabilitation,48.08017995682588,1014732.1979888101,249103.4123563149,21105,5181,0.24548685145700072,0.607486451742255,0.6877230266313815,47.312
Nambour,316071548,Rehabilitation,54.57736319063706,1149344.6914316257,248763.6214229237,21059,4558,0.21643952704306949,0.606657806375628,0.7789550892350666,29.03
Nanango,319021509,Rehabilitation,54.254339584754874,529902.1347243008,217397.13871611276,9767,4007,0.4102590355277977,0.530164621866619,0.3591350512315614,167.957
Caboolture - South,313021366,Rehabilitation,38.28282591083598,838508.7359250404,213426.7544529106,21903,5575,0.25453134273843764,0.5204820782784326,0.5682896106678796,25.411
Beaudesert,311011305,Rehabilitation,52.55188226809821,777137.2349806364,209314.1470738352,14788,3983,0.26934000540979175,0.5104526963422674,0.526695784767756,70.553
Buderim - North,316011413,Rehabilitation,56.64525360498586,1002167.8267794099,199957.74522560008,17692,3530,0.1995252091340719,0.4876353157769268,0.679207669167634,17.69
Maryborough Region - South,319051525,Rehabilitation,59.90402504721944,526376.6680899172,199180.88328200462,8787,3325,0.3783999089564129,0.48574078891700023,0.3567457069406325,67.921
Warwick,307031189,Rehabilitation,53.607769328073196,824273.0611884535,198884.82420715154,15376,3710,0.24128511966701352,0.48501879207565896,0.5586415465427936,122.107
Coolum Beach,316031425,Rehabilitation,69.0656783521394,1090616.1268586332,184819.75527032503,15791,2676,0.1694636185168767,0.4507184236418407,0.7391524829337139,34.93
Surfers Paradise,309101270,Rehabilitation,39.049899102100454,1034275.6276182325,183183.0766879532,26486,4691,0.1771124367590425,0.446727068986187,0.7009683603284325,9.605
Jimboomba,311041321,Rehabilitation,47.37199254951367,1475495.4519397023,179634.59574775584,31147,3792,0.12174527241788936,0.43807341757673907,1,39.043
Cooloola,319031511,Rehabilitation,56.6632324710746,367574.3890398609,176279.3162175131,6487,3111,0.4795745336827501,0.42989092486357205,0.249119296543167,93.548
Nerang - Mount Nathan,309061248,Rehabilitation,36.324628774773934,787372.6533219998,175157.35995195992,21676,4822,0.22245801808451743,0.42715481930675225,0.5336327213255122,13.364
