sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Gympie Region,319031514,Speech,61.92115548274277,1218174.8918119986,378276.33884407557,19673,6109,0.31052711838560465,1,0.6315988137041672,9.084
Bribie Island,313011363,Speech,51.23521573629858,987200.136807001,357314.39454494626,19268,6974,0.36194727008511524,0.9445856318606018,0.5118431183296138,39.708
Noosa Hinterland,316081549,Speech,60.16569062395297,1405350.2015942936,354436.08346570696,23358,5891,0.2522048120558267,0.9369766148968797,0.7286453908482414,20.718
Surfers Paradise,309101270,Speech,72.82021612192327,1928716.2442052595,341599.633827942,26486,4691,0.1771124367590425,0.9030425610858743,1,4.523
Upper Coomera - Willow Vale,309071258,Speech,43.765584295418456,1526456.049055605,327497.8672826163,34878,7483,0.21454785251447905,0.8657635533942556,0.7914363005142788,15.668
Maroochydore - Kuluin,316031427,Speech,62.69222857454475,1287259.5293211273,311266.91487261467,20533,4965,0.24180587347197194,0.8228558937198501,0.6674177879657727,2.302
Maryborough Region - South,319051525,Speech,80.47384063313163,707123.6376433276,267575.5201051627,8787,3325,0.3783999089564129,0.707354631068946,0.3666291709668794,38.127
Coolum Beach,316031425,Speech,98.89553255242038,1561659.3545352702,264644.4451102769,15791,2676,0.1694636185168767,0.6996061289980989,0.8096884957687296,18.506
Nerang - Mount Nathan,309061248,Speech,54.52027047429841,1181781.3828008922,262896.7442270669,21676,4822,0.22245801808451743,0.6949859592868488,0.61272952221536,8.941
Nanango,319021509,Speech,61.785771450164354,603461.6297537553,247575.58620080858,9767,4007,0.4102590355277977,0.6544834047969851,0.31288253602199306,9.082
Lockyer Valley - East,310021280,Speech,46.33058674394706,977807.0332310026,240038.7699203897,21105,5181,0.24548685145700072,0.6345593030055549,0.5069729858753352,43.902
Marcoola - Mudjimba,316031426,Speech,77.78727658444967,926057.5277378734,224027.35656321506,11905,2880,0.24191516169676605,0.5922320101960131,0.4801419236863749,7.212
Warwick,307031189,Speech,59.913418729116785,921228.7263788996,222278.78348502328,15376,3710,0.24128511966701352,0.5876095347762313,0.47763828875641484,2.023
Cooloola,319031511,Speech,71.26719296403506,462310.28075769544,221712.23731111307,6487,3111,0.4795745336827501,0.586111830278928,0.23969844301705123,50.137
Kingaroy Region - North,319021506,Speech,72.2190576221703,701608.1447993844,203729.9615521424,9715,2821,0.2903757076685538,0.5385744246512847,0.3637695005200139,49.472
Buderim - North,316011413,Speech,56.63541763653969,1001993.8088256603,199923.0242569851,17692,3530,0.1995252091340719,0.5285105192354969,0.5195133352747483,2.622
Carrara,309061246,Speech,69.50657952153689,907825.4351307933,197398.68584116476,13061,2840,0.2174412372712656,0.5218372538033152,0.47068895585771814,3.416
Robina,309081261,Speech,52.00908383406524,1325659.5378464889,195918.21880292374,25489,3767,0.14778924241829808,0.5179235354809772,0.6873274084922408,2.38
Caboolture,313021365,Speech,24.202042146993506,705053.8918262147,189986.03085389902,29132,7850,0.2694631333241796,0.5022413810878368,0.3655560500122904,4.391
Beaudesert,311011305,Speech,46.37647601217243,685815.3272680059,184717.5039564828,14788,3983,0.26934000540979175,0.4883136611740943,0.35558124702299104,59.4
