sa2_name_2016,sa2_main_2016,service,mean_time_access,pop_by_mean_time_access,dis_by_mean_time_access,n_person,n_disability,prop_disability,scaled_dis_by_mean_time_access,scaled_pop_by_mean_time_access,centroid_dist_km
Bribie Island,313011363,Urology,77.90381425105478,1501050.6929893235,543301.2005868561,19268,6974,0.36194727008511524,1,0.6914895642605305,61.021
Noosa Hinterland,316081549,Urology,81.40731591037397,1901512.085034515,479570.49802801304,23358,5891,0.2522048120558267,0.8826972911342672,0.8759702582049986,46.777
Caboolture,313021365,Urology,54.49600934274831,1587577.7441729438,427793.67334057426,29132,7850,0.2694631333241796,0.7873968857026002,0.7313500121449085,30.124
Upper Coomera - Willow Vale,309071258,Urology,54.98427412657112,1917741.5129865475,411447.3232891317,34878,7483,0.21454785251447905,0.7573097995084491,0.8834466746346125,23.805
Gympie Region,319031514,Urology,54.38784587621407,1069972.0919227595,332255.35045779176,19673,6109,0.31052711838560465,0.6115490819804934,0.49290442959068,9.612
Lockyer Valley - East,310021280,Urology,62.23807787174394,1313534.6334831559,322455.48145350534,21105,5181,0.24548685145700072,0.5935114465147501,0.6051064734792695,43.902
Nanango,319021509,Urology,75.3898467450604,736332.6331590049,302087.11590745696,9767,4007,0.4102590355277977,0.5560214400063029,0.3392066197577452,128.392
Beaudesert,311011305,Urology,75.75119946939795,1120208.7377534567,301717.02748661203,14788,3983,0.26934000540979175,0.5553402553881847,0.5160469633489495,74.934
Tewantin,316051438,Urology,91.4085451002986,967925.0840670619,289308.0452424451,10589,3165,0.29889507979979224,0.5325002870046008,0.44589439766717504,38.373
Jimboomba,311041321,Urology,69.69369753296931,2170749.597059395,264278.5010450196,31147,3792,0.12174527241788936,0.4864309166987937,1,38.142
Warwick,307031189,Urology,69.99235714186067,1076202.4834132495,259671.64499630305,15376,3710,0.24128511966701352,0.4779515390649133,0.4957745862862887,88.746
Nerang - Mount Nathan,309061248,Urology,52.65680427350048,1141388.8894323963,253911.1102068193,21676,4822,0.22245801808451743,0.46734870074381,0.5258040314638677,13.166
Tamborine - Canungra,309041242,Urology,75.99653434573193,1160467.0794593266,253296.44897432454,15270,3333,0.21827111984282907,0.46621735549400967,0.5345927881462481,37.855
Maryborough Region - South,319051525,Urology,74.6473472306598,655926.2401158077,248202.42954194386,8787,3325,0.3783999089564129,0.4568413051063457,0.30216577766701325,71.881
Caboolture - South,313021366,Urology,44.50224702593997,974732.7166091632,248100.02716961535,21903,5575,0.25453134273843764,0.45665282333561175,0.44903047220627584,25.49
Caloundra - West,316021420,Urology,57.20532932196958,1360056.7046298268,244381.16686345404,23775,4272,0.1796845425867508,0.44980789035526064,0.6265378127777737,19.364
Cooloola,319031511,Urology,76.91890400635323,498972.93028921343,239294.7103637649,6487,3111,0.4795745336827501,0.4404457602988667,0.22986203980650133,49.628
Kingaroy Region - North,319021506,Urology,81.52963178301738,792060.3727720138,229995.091259892,9715,2821,0.2903757076685538,0.4233288846250641,0.364878737669687,144.264
Noosaville,316051435,Urology,103.81134516957347,976760.9467005167,227139.22323102676,9409,2188,0.2325433095971942,0.4180723749288211,0.4499648176941668,39.452
Caloundra Hinterland,316061440,Urology,84.16845885450526,755075.2443837668,216902.11846806007,8971,2577,0.28725894549102665,0.3992299634783975,0.3478407852322668,45.136
