sa2_name_2016,max_rank
Gympie Region,8
Bribie Island,11
Noosa Hinterland,12
Upper Coomera - Willow Vale,15
Lockyer Valley - East,23
Nanango,26
Maryborough Region - South,27
Maroochydore - Kuluin,28
Warwick,32
Nerang - Mount Nathan,34
Cooloola,35
Beaudesert,36
Caboolture,37
Tamborine - Canungra,38
Kingaroy Region - North,40
Jimboomba,52
Buderim - North,53
Nambour,58
Crows Nest - Rosalie,59
Boonah,61
Marcoola - Mudjimba,62
Ormeau - Yatala,63
Lowood,65
Caloundra Hinterland,66
Coolum Beach,66
Mudgeeraba - Bonogin,66
Deception Bay,67
Lockyer Valley - West,67
Surfers Paradise,69
Oxenford - Maudsland,70
Eumundi - Yandina,73
Buderim - South,76
Beachmere - Sandstone Point,78
Robina,79
Maroochy Hinterland,80
Carrara,82
Palmwoods,82
Cashmere,85
Forest Lake - Doolandella,86
Helensvale,87
Narangba,90
Woodford - D'Aguilar,90
Hope Island,91
Kilcoy,91
Rosewood,93
Greenbank,96
Bli Bli,97
Boronia Heights - Park Ridge,98
Esk,100
Mermaid Waters,100
Eagleby,101
Inala - Richlands,103
Samford Valley,105
Bracken Ridge,106
The Hills District,109
Southern Downs - West,111
Kilkivan,112
Caloundra - West,115
Golden Beach - Pelican Waters,118
Beerwah,120
Coombabah,120
Gatton,120
Redland Bay,121
Burleigh Waters,122
Coomera,122
Clifton - Greenmount,123
Burpengary,125
Dayboro,125
Pimpama,125
Elanora,126
Landsborough,126
Pacific Pines - Gaven,129
Calamvale - Stretton,130
Redbank Plains,130
Tewantin,133
Mooloolaba - Alexandra Headland,134
North Lakes - Mango Hill,134
Sippy Downs,134
Worongary - Tallai,138
Guanaba - Springbrook,139
Dakabin - Kallangur,140
Mountain Creek,140
Caboolture - South,141
Noosaville,142
Ashmore,145
Mermaid Beach - Broadbeach,148
Wynnum West - Hemmant,148
Glass House Mountains,151
Sunnybank Hills,155
Varsity Lakes,155
Currumbin Valley - Tallebudgera,157
Gympie - North,157
